月描述,乘用销售区域,乘用销售分部,客户编码,客户名称,产品大类,花纹,轮辋（乘用）,车型,规格,品牌（中文）,销售订单数量
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiComfort Winter20,16,轿车,205/55R16,佳通,10
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiComfort Winter50SUV,17,SUV,235/55R17,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiControl Winter10,16,轿车,225/55R16,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiControl Winter10,18,轿车,215/50R18,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiControl Winter10,19,轿车,225/45R19,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiTaxi 900,13,轿车,165/70R13,佳通,735
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiTaxi 900,14,轿车,185/60R14,佳通,315
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiUtility Winter 658,16,LTR,7.00R16 LT,佳通,6
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinter 230,15,轿车,175/60R15,佳通,2
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinter SUV830,16,SUV,245/70R16,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinterControl SUV890+,19,SUV,245/55R19,佳通,1
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinterControl SUV890+,19,SUV,255/55R19,佳通,4
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinterControl SUV890+,20,SUV,245/45R20,佳通,20
2020-12,东北区,吉林,CKH0439150,白山市浑江区大门洞轮胎商行,101半钢外胎,GitiWinterControl SUV890+,21,SUV,275/45R21,佳通,4
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228,15,轿车,185/60R15,佳通,100
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228,15,轿车,185/65R15,佳通,60
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228,15,轿车,195/65R15,佳通,40
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/50R16,佳通,1
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228,16,轿车,205/55R16,佳通,150
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,205/65R16,佳通,24
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228v1,16,轿车,215/60R16,佳通,112
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,205/50R17,佳通,24
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort 228v1,17,轿车,225/55R17,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort SUV 520,17,SUV,225/65R17,佳通,80
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort SUV 520,18,SUV,225/60R18,佳通,40
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,13,轿车,175/70R13,佳通,20
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,155/65R14,佳通,1
2020-12,东北区,辽宁,CKH0024004,沈阳瑞健汽车服务有限公司,101半钢外胎,GitiComfort T20,14,轿车,165/60R14,佳通,8
